NGA,PolID,TStart,TEnd,HS,Description,,,,,,,,,,,
Kachi Plain,AfKushn,30,250,A*,At different times during Kushan history,and in different combinations,Kushan emperors patronised Greek religion,Hinduism (specifically,Siva worship),Zoroastrianism,and Buddhism (Harmatta et al. 1994),,,,,
Kachi Plain,IrSasn1,251,495,A*,Zoroastrianism,,,,,,,,,,,
Kachi Plain,AfHepht,496,531,A;P,Procopius reported that when a Hephthalite patron died,all clients went with him to the grave,but his claims are not universally accepted by modern scholars (Burzine Waghmar,pers. comm. to Jenny Reddish,July 2021). Religions in the region ruled by Hephtalites included Buddhism,Zoroastrianism,Nestorian Christianity,Manichaeism and Hinduism,,,,
Kachi Plain,IrSasn2,532,641,A*,Zoroastrianism,,,,,,,,,,,
Kachi Plain,SyCalUm,670,750,A,Islam,,,,,,,,,,,
Kachi Plain,IqAbbs1,750,861,A,Islam,,,,,,,,,,,
Kachi Plain,PkSind1,862,1192,A,Islam,,,,,,,,,,,
Kachi Plain,AfGhurd,1193,1206,A,Islam,,,,,,,,,,,
Kachi Plain,InDelh*,1207,1339,A,Islam,,,,,,,,,,,
Kachi Plain,PkSind2,1340,1519,A,Islam,,,,,,,,,,,
Kachi Plain,InMugl*,1526,1740,A,Islam,,,,,,,,,,,
Kachi Plain,AfDurrn,1748,1826,A,Islam,,,,,,,,,,,
Middle Ganga,InMahaJ,-600,-325,A*,Some descriptions of HS in Vedic texts,but by 600 BCE (emergence of Upanisadic corpus) emphasis had shifted towards interiorization of ritual through meditation (Vesna Wallace,pers. comm. to Jenny Reddish,June 2021). Ahimsa (non-violence) was stressed,also by new sramanic movements. No good archaeological evidence for HS that we are aware of.,,,,,,,
Deccan,InDecNL,-2700,-1201,U,Unknown,,,,,,,,,,,
Deccan,InDecIA,-1200,-300,U,Unknown,,,,,,,,,,,
Deccan,InDecKg,-205,-101,A,Absent because of Buddhism,,,,,,,,,,,
Deccan,InSataL,-100,203,A,Absent because of Hinduism,,,,,,,,,,,
Deccan,InVakat,286,335,A,Absent because of Hinduism,,,,,,,,,,,
Deccan,GapDec,351,450,A,Absent because of Hinduism,,,,,,,,,,,
Deccan,InKadam,451,540,A,Absent because of Hinduism,,,,,,,,,,,
Deccan,InChaBd,541,756,A,Absent because of Hinduism,,,,,,,,,,,
Deccan,InRasht,757,973,A,Absent because of Hinduism,,,,,,,,,,,
Deccan,InChaKl,974,1055,A,Absent because of Hinduism,,,,,,,,,,,
Deccan,InHoysa,1192,1253,A,Absent because of Hinduism,,,,,,,,,,,
Deccan,InKampi,1280,1310,A,Absent because of Hinduism,,,,,,,,,,,
Deccan,InVijay,1337,1646,A,Absent because of Hinduism,,,,,,,,,,,
Deccan,InMugl*,1687,1720,A,Absent because of Islam,,,,,,,,,,,
Deccan,InEInCo,1800,1857,A,Absent because of Islam and Hinduism,,,,,,,,,,,
Deccan,InBritP,1858,1946,A,Christian ruling elite,Islam and Hinduism among general population,,,,,,,,,,
Garo Hills,InGaroE,1775,1867,P,According to Sinha,the killing of human beings was necessary in the context of cremation ceremonies. The spirit of the sacrificed person became a servant to the dead person,,,,,,,,,,
Garo Hills,InBritP,1868,1956,A,Head hunting,raiding and other practices suppressed by colonial authorities,,,,,,,,,,
Sogdiana,TjSaraz,-3500,-2001,U,Unknown -- very few human burials excavated (Burzine Waghmar,pers. comm. to Jenny Reddish,July 2021),,,,,,,,,
Sogdiana,KzAndro,-2000,-1401,A*,Much evidence of animal sacrifices,so it is unlikely that human sacrifices would be missed by archaeologists,,,,,,,,,,
Sogdiana,UzKok01,-1400,-1000,U,Unknown,,,,,,,,,,,
Sogdiana,UzKhw01,-999,-751,U,Unknown,,,,,,,,,,,
Sogdiana,UzKok02,-750,-600,U,Unknown,,,,,,,,,,,
Sogdiana,IrAchae,-520,-330,A*,Zoroastrianism,,,,,,,,,,,
Sogdiana,IrSeleu,-300,-249,A*,Hellenistic religion,,,,,,,,,,,
Sogdiana,AfGrBct,-248,-130,A*,Hellenistic religion,,,,,,,,,,,
Sogdiana,AfTochr,-129,29,A*,Probably absent due to Buddhism,Hellenistic religion,Zoroastrianism,Hinduism,,,,,,,,
Sogdiana,AfKushn,30,230,A*,Kushan emperors patronised Greek religion,Hinduism (specifically,Siva worship),Zoroastrianism,and Buddhism,,,,,,,
Sogdiana,IrSasn1,231,425,A*,Zoroastrianism,,,,,,,,,,,
Sogdiana,AfHepht,426,563,A;P,Procopius reported that when a Hephthalite patron died,all clients went with him to the grave,but his claims are not universally accepted by modern scholars (Burzine Waghmar,pers. comm. to Jenny Reddish,July 2021). Religions in the region ruled by Hephtalites included Buddhism,Zoroastrianism,Nestorian Christianity,Manichaeism and Hinduism,,,,
Sogdiana,KgWTurk,564,603,P*,Türk funeral customs involved HS (Golden 1992,130),,,,,,,,,,
Sogdiana,UzSogdi,604,711,A*,Zoroastrianism,Nestorian Christianity,and Buddhism were all practiced in this quasipolity (Hanks 2010,5),,,,,,,,
Sogdiana,IqAbbs1,750,875,A,Islam,,,,,,,,,,,
Sogdiana,UzSamnd,876,990,A,Islam,,,,,,,,,,,
Sogdiana,KgKarKh,991,1089,A,Islam,,,,,,,,,,,
Sogdiana,IrSeljq,1090,1157,A,Islam,,,,,,,,,,,
Sogdiana,KgKarKh,1158,1212,A,Islam,,,,,,,,,,,
Sogdiana,UzChagt,1263,1361,P*,Although Islam and Buddhism were sponsored by the rulers (Atwood 2004),Mongol funeral customs involved HS,,,,,,,,,,
Sogdiana,UzTimur,1370,1526,A,Islam,,,,,,,,,,,
Sogdiana,UzJanid,1599,1747,A,Islam,,,,,,,,,,,
Orkhon Valley,MnXngnE,-1400,-400,U,No evidence for HS in graves before c. 400 BCE (Nikolay Kradin,pers. comm. to Jenny Reddish,January 2021).,,,,,,,,,
Orkhon Valley,MnXngnE,-399,-300,P*,Scholars mention the sacrifice of concubines,slaves and prisoners of war at funeral of important men. This is backed by archaeological evidence from the Derestuy burial ground (Russia) (Miniaev,2001),,,,,,,,,
Orkhon Valley,MnXngnM,-209,-60,P*,Scholars mention the sacrifice of concubines,slaves and prisoners of war at funeral of important men. This is backed by archaeological evidence from the Derestuy burial ground (Russia) (Miniaev,2001),,,,,,,,,
Orkhon Valley,MnXngnL,-59,99,P*,Scholars mention the sacrifice of concubines,slaves and prisoners of war at funeral of important men. This is backed by archaeological evidence from the Derestuy burial ground (Russia) (Miniaev,2001),,,,,,,,,
Orkhon Valley,MnXianb,100,250,A*,Wei’s study (2012) classifies known Xianbei tombs in 5 types,and doesn’t identify human sacrifice,although animal sacrifice is present,,,,,,,,,
Orkhon Valley,MnRourn,300,551,A*,HS is inferred absent because of Buddhism. However,HS is attested in later periods where Buddhism was also present (eg Khitans),,,,,,,,,,
Orkhon Valley,MnETurk,583,630,P*,Türk funeral customs involved HS,,,,,,,,,,,
Orkhon Valley,MnTurk2,684,744,P*,Türk funeral customs involved HS,,,,,,,,,,,
Orkhon Valley,MnUigur,745,840,A;P,Scholarly disagreement about whether funerary HS took place. The elite adopted Manichaeism,which proscribed HS,,,,,,,,,,
Orkhon Valley,MnShiwe,841,907,U,Scholars mention HS as a common practice but there doesn’t seem to be any direct evidence for it (Atwood 2004,13),,,,,,,,,,
Orkhon Valley,MnKhit2,960,1125,P,Although Buddhism prohibited the practice,it seems that the sacrifice of retainers took place at various points. The widow of a khagan seems to have been buried with her husband until the death of Abaoji/T’ai-tsu (926CE),whose widow refused to follow him to the grave and condemned the practice Hundreds of men were,however,buried with him,and several people were buried with Jingzong in 983 (Wittfogel,Karl A,and Feng Chia-sheng 1949 pp. 200-201,204,219,222,582)
Orkhon Valley,MnMongE,1126,1205,P,HS was practiced among the Mongols in this period (Nikolay Kradin,pers. comm. to Jenny Reddish,January 2021).,,,,,,,,,
Orkhon Valley,MnMngKh,1206,1367,P,The sacrifice of human companions was a part of the funerary rituals of rulers (Elverskog,J 2014 in Wallace,V A (ed) P 20),,,,,,,,,
Orkhon Valley,MnMongL,1368,1580,P,Before,and even during the advent of Buddhism,young women killed themselves and asked for their bones to be used as trumpets during shamanic rituals. Before the conversion to Buddhism,human sacrifice was practiced in a state context to expel spirits and placate them,,,,,,,,
Orkhon Valley,MnMongL,1581,1689,A,Conversion to Buddhism. Altan Khan started persecuting shamans to eradicate HS (Vesna Wallace 2017 pers comm),,,,,,,,,,,
Orkhon Valley,MnZungh,1695,1745,A*,Probably absent due to Buddhism,,,,,,,,,,,
Lena River Valley,RuYakuE,1400,1642,P,Sacrifice of servants at the funerals of wealthy Sakha (Nikolay Kradin,pers. comm. to Jenny Reddish,January 2021). The custom was suppressed when the Sakha came under Russian control.,,,,,,,,,
Lena River Valley,RuYakuL,1643,1900,A,Russians suppressed the practiced of funerary HS (Nikolay Kradin,pers. comm. to Jenny Reddish,January 2021).,,,,,,,,,
Middle Yellow River Valley,CnYngsh,-5000,-3501,A*,Evidence for HS increases during the Middle Neolithic (Yangshao) and by late Yangshao becomes abundant (Reinhardt 2015). Primary evidence concerns burials in ash pits in nonresidential areas Evidence of child sacrifice in building foundations and walls in Late Yangshao period,,,,,,,,,,,
Middle Yellow River Valley,CnYngsh,-3500,-3001,P*,Evidence for HS increases during the Middle Neolithic (Yangshao) and by late Yangshao becomes abundant (Reinhardt 2015). Primary evidence concerns burials in ash pits in nonresidential areas Evidence of child sacrifice in building foundations and walls in Late Yangshao period,,,,,,,,,,,
Middle Yellow River Valley,CnLngsh,-3000,-1900,P,Sacrificial pits at multiple locations. Children and adult sacrifices in building foundations,,,,,,,,,,,
Middle Yellow River Valley,CnErlit,-1850,-1651,P,Sacrifical pits; construction sacrifices,,,,,,,,,,,
Middle Yellow River Valley,CnErlig,-1650,-1251,P,Evidence for HS was found at the Xibeigang royal tombs,where several pits include sacrificial victims who may have been captives. Retainers may also have been sacrificed (Thorp 2006,189),,,,,,,,,
Middle Yellow River Valley,CnShang,-1250,-1123,P,The construction of buildings sometimes required human victims. The mortuary cult of the Anyang kings included the sacrifice of retainers,both low-status (mutilated bodies) and high-status (servants and familiars of the king),,,,,,,,,,
Middle Yellow River Valley,CnWZhou,-1122,-795,P,King Wu apparently sacrificed the Shang king,his two wives. Prisoners of war were routinely presented at temples for sacrifice. Evidence of HS is mainly connected to cults of rulers,,,,,,,,,,
Middle Yellow River Valley,CnJinSA,-794,-489,P,Evidence for HS in sacrificial pits,and as part of blood covenants,,,,,,,,,,
Middle Yellow River Valley,CnChuWS,-488,-223,P,Retainer sacrifice,and sacrifice of prisoners of war. Confucians and Hsimen Pao speaking out against HS,,,,,,,,,,
Middle Yellow River Valley,CnWHan*,-202,9,A*,HS was phased out during the Han period. Isolated instances of funerary sacrifice,but the practice lacked the state support it had enjoyed in previous periods,,,,,,,,,,
Middle Yellow River Valley,CnEHan*,25,219,A,HS was phased out during the Han period,and by 1 CE had almost ended (Gene Anderson,pers. comm. to Jenny Reddish,June 2021),,,,,,,,
Middle Yellow River Valley,CnErJin,265,317,A,See Confucian,Buddhist and Daoist attitudes to HS,,,,,,,,,,
Middle Yellow River Valley,CnNWei*,386,557,A,See Confucian,Buddhist and Daoist attitudes to HS,,,,,,,,,,
Middle Yellow River Valley,CnSui**,581,617,A,See Confucian,Buddhist and Daoist attitudes to HS,,,,,,,,,,
Middle Yellow River Valley,CnTangE,618,762,A,See Confucian,Buddhist and Daoist attitudes to HS,,,,,,,,,,
Middle Yellow River Valley,CnTangL,763,907,A,See Confucian,Buddhist and Daoist attitudes to HS,,,,,,,,,,
Middle Yellow River Valley,CnNSong,960,1126,A,See Confucian,Buddhist and Daoist attitudes to HS,,,,,,,,,,
Middle Yellow River Valley,CnLrJin,1127,1234,A,See Confucian,Buddhist and Daoist attitudes to HS,,,,,,,,,,
Middle Yellow River Valley,CnYuan*,1271,1367,P*,The Mongol rulers of the Yuan Dynasty practiced HS,,,,,,,,,,,
Middle Yellow River Valley,CnMing*,1368,1463,P,Funerary HS practiced by early Ming emperors,,,,,,,,,,,
Middle Yellow River Valley,CnMing*,1464,1643,A,HS was prohibited by Emperor Yinzong in 1464,,,,,,,,,,,
Middle Yellow River Valley,CnQingE,1644,1795,A,"""""""Widow suicide"""" practiced by early Qing elite and then phased out",but this was not HS according to our definition. See Confucian,"Buddhist and Daoist attitudes to HS""",,,,,,,,,
Middle Yellow River Valley,CnQingL,1796,1912,A,See Confucian,Buddhist and Daoist attitudes to HS,,,,,,,,,,
Southern China Hills,CnHQngL,1701,1895,A*,The Hmong practiced food and animal sacrifices,but no good evidence for HS. There are stories among modern-day Hmong about occasional killings to appease dragons and deities (Gary Lee,pers. comm. to Jenny Reddish,July 2021),but these are unconfirmed,,,,,,,
Southern China Hills,CnHChin,1896,1941,A*,The Hmong practiced food and animal sacrifices,but no good evidence for HS. There are stories among modern-day Hmong about occasional killings to appease dragons and deities (Gary Lee,pers. comm. to Jenny Reddish,July 2021),but these are unconfirmed,,,,,,,
Kansai,JpYayoi,-300,249,A*,The absence of HS is the consensus among scholars. No archaeological evidence for HS,,,,,,,,,,,
Kansai,JpKofun,250,537,A;P,Various stories and myths hint at HS in the distant past. Chinese sources suggest HS. The fact that the sacrifice of humans during funerals was officially prohibited in 646 CE,and the sacrifice of widows banned in 833 CE,indicate that HS may have taken place earlier in the historical sequence. However,there is no evidence for HS archaeologically,,,,,,,,
Kansai,JpAsuka,538,710,A*,The sacrifice of humans during funerals was officially prohibited in 646 CE,and the sacrifice of widows banned in 833 CE,,,,,,,,,,
Kansai,JpHeian,794,1184,A,HS is absent because of Shinto and Buddhism,,,,,,,,,,,
Kansai,JpKamak,1185,1333,A,HS is absent because of Shinto and Buddhism,,,,,,,,,,,
Kansai,JpAshik,1336,1466,A,HS is absent because of Shinto and Buddhism,,,,,,,,,,,
Kansai,JpSengk,1467,1567,A,HS is absent because of Shinto and Buddhism,,,,,,,,,,,
Kansai,JpAzMom,1568,1602,A,HS is absent because of Shinto and Buddhism,,,,,,,,,,,
Kansai,JpTokgw,1603,1868,A,HS is absent because of Shinto and Buddhism,,,,,,,,,,,
Cambodian Basin,KhFunaE,225,539,U,Provisional code,pending expert advice,,,,,,,,,,
Cambodian Basin,KhFunaL,540,639,A*,Provisional code,pending expert advice,,,,,,,,,,
Cambodian Basin,KhChenl,640,801,P*,Each year,the king goes to the Wat Phu temple to make a human sacrifice during the night (Coe 2003,pp 76-77). Construction HS might also have been present (Miksic 2007,p 427),,,,,,,,
Cambodian Basin,KhAngkE,802,1079,P~A,Provisional code,pending expert advice,,,,,,,,,,
Cambodian Basin,KhAngkC,1080,1219,A*,Probably absent due to Buddhism,,,,,,,,,,,
Cambodian Basin,KhAngkL,1220,1431,A*,Probably absent due to Buddhism,,,,,,,,,,,
Cambodian Basin,KhCambd,1432,1593,A*,Probably absent due to Buddhism,,,,,,,,,,,
Cambodian Basin,ThAyuth,1594,1767,A*,Probably absent due to Buddhism,,,,,,,,,,,
Cambodian Basin,ThRattn,1782,1873,A*,Probably absent due to Buddhism,,,,,,,,,,,
Central Java,IdCJBun,-400,499,U,Unknown. John Miksic doubts that HS was ever present in Java (2017,pers Comm),,,,,,,,,,
Central Java,IdKalin,500,731,A;P,There is some debate regarding whether or not human sacrifice was ever an important part of Javanese religious practice (John Miksic 2016,pers comm),,,,,,,,,,
Central Java,IdMedng,732,1019,P*,Human skeletons were found in deep shafts beneath cult statues in temple complexes,which have been interpreted as human sacrifice. It is possible that Tantric Buddhism sponsored the practice,,,,,,,,,,
Central Java,IdKedir,1049,1222,P*,Human skeletons were found in deep shafts beneath cult statues in temple complexes,which have been interpreted as human sacrifice. It is possible that Tantric Buddhism sponsored the practice,,,,,,,,,,
Central Java,IdMajap,1291,1518,P*,Human skeletons were found in deep shafts beneath cult statues in temple complexes,which have been interpreted as human sacrifice. It is possible that Tantric Buddhism sponsored the practice,,,,,,,,,,
Central Java,IdMatrm,1568,1703,A,Islam was the official religion of the Mataram Sultanate. On the other hand,European observers reported mass human sacrifice at funerals of royalty (Stephen Lansing. 2006. Perfect Order: Recognizing Complexity in Bali. Princeton University Press. Princeton. pp.56-57),,,,,,,,,,
Kapuasi Basin,IdBrokE,1650,1841,P*,Slaves (war captives) were occasionally sacrificed on whetstones to initiate the yearly farming cycle (Freeman 1955),,,,,,,,,,,
Kapuasi Basin,IdBrokL,1842,1899,P*,Slaves (war captives) were occasionally sacrificed on whetstones to initiate the yearly farming cycle (Freeman 1955),,,,,,,,,,,
Kapuasi Basin,IdBrokL,1900,1949,P~A,The colonial government of the Brooke rajas gradually suppressed headhunting and similar practices in the first half of the twentieth century: this likely included HS rites,,,,,,,,,,,
Kapuasi Basin,IdBrokL,1950,1987,A,The colonial government of the Brooke rajas gradually suppressed headhunting and similar practices in the first half of the twentieth century: this likely included HS rites,,,,,,,,,,,
Oro PNG,PgOrokE,1734,1883,A*,The only possibly relevant ritual is the consumption of enemies,but it is not directly connected to appeasing supernatural agents,,,,,,,,,,
Oro PNG,PgOrokL,1884,1942,A*,The only possibly relevant ritual is the consumption of enemies,but it is not directly connected to appeasing supernatural agents,,,,,,,,,,
Big Island Hawaii,Hawaii1,1000,1199,A*,According to Hawaiian oral histories,human sacrifice was introduced to Hawai'i by the voyaging priest P?'ao,who probably came from the Society Islands,some time between 1310 and 1390 CE (Kirch 2010,86-87),,,,,,,
Big Island Hawaii,Hawaii2,1200,1349,A*,According to Hawaiian oral histories,human sacrifice was introduced to Hawai'i by the voyaging priest P?'ao,who probably came from the Society Islands,some time between 1310 and 1390 CE (Kirch 2010,86-87),,,,,,,
Big Island Hawaii,Hawaii2,1350,1649,P*,According to Hawaiian oral histories,human sacrifice was introduced to Hawai'i by the voyaging priest P?'ao,who probably came from the Society Islands,some time between 1310 and 1390 CE (Kirch 2010,86-87),,,,,,,
Big Island Hawaii,Hawaii3,1650,1777,P,HS was a necessary part of the king's annual temple rites dedicated to the war god Ku,,,,,,,,,,,
Big Island Hawaii,USKameh,1778,1803,P,HS was a necessary part of the king's annual temple rites dedicated to the war god Ku,,,,,,,,,,,
Big Island Hawaii,USKameh,1804,1819,A,HS is prohibited by Kamehameha from 1804,,,,,,,,,,,
Big Island Hawaii,USHawai,1820,1854,A,HS is prohibited by Kamehameha from 1804,,,,,,,,,,,
Chuuk Islands,FmTrukE,1775,1885,P,The sacrifice of enemies seems to have taken place in the Chuuk Islands to satisfy the spirit Paladiu Bollig,Laurentius 1927,,,,,,,,,,
Chuuk Islands,FmTrukL,1886,1948,P,The sacrifice of enemies seems to have taken place in the Chuuk Islands to satisfy the spirit Paladiu Bollig,Laurentius 1927,,,,,,,,,,
Valley of Oaxaca,MxTieLa,-1400,-1151,A*,The earliest human sacrifices in Oaxaca were practiced in the Rosario phase (Feinman 2017,perscomm),,,,,,,,,,
Valley of Oaxaca,MxSanGu,-1150,-701,A*,The earliest human sacrifices in Oaxaca were practiced in the Rosario phase (Feinman 2017,perscomm),,,,,,,,,,
Valley of Oaxaca,MxRosar,-700,-501,P,The earliest human sacrifices in Oaxaca were practiced in the Rosario phase (Feinman 2017,perscomm). Victims were war prisoners,,,,,,,,,,
Valley of Oaxaca,MxAlb1E,-500,-301,P,The earliest human sacrifices in Oaxaca were practiced in the Rosario phase (Feinman 2017,perscomm). Victims were war prisoners,,,,,,,,,,
Valley of Oaxaca,MxAlb1L,-300,-101,P,The earliest human sacrifices in Oaxaca were practiced in the Rosario phase (Feinman 2017,perscomm). Victims were war prisoners,,,,,,,,,,
Valley of Oaxaca,MxAlb2*,-100,199,P,The earliest human sacrifices in Oaxaca were practiced in the Rosario phase (Feinman 2017,perscomm). Victims were war prisoners,,,,,,,,,,
Valley of Oaxaca,MxAlb3A,200,499,P,The sacrifice of captured enemy rulers and soldiers is depicted in the iconography (Joyce,AA 2009,234-236),,,,,,,,,
Valley of Oaxaca,MxAlb3B,500,899,P,The sacrifice of captured enemy rulers and soldiers is depicted in the iconography (Joyce,AA 2009,234-236),,,,,,,,,
Valley of Oaxaca,MxAlb5*,900,1520,P,Analogies with colonial period accounts enable us to infer the sacrifice of prisoners during calendric rituals,for example in honour of the patron deity of the city of Huitzo (Lind 2015,343-345),,,,,,,,,
Valley of Oaxaca,EsHabsb,1521,1700,A,Christianity,,,,,,,,,,,
Cahokia,USMisEW,-600,-151,A*,HS is inferred absent (Peter Peregrine 2021,pers Comm) Its first documented instance in the Cahokia region corresponds to the Lohmann phase,,,,,,,,,,
Cahokia,USMisMW,-150,299,A*,HS is inferred absent (Peter Peregrine 2021,pers Comm) Its first documented instance in the Cahokia region corresponds to the Lohmann phase,,,,,,,,,,
Cahokia,USMisRo,300,449,A*,HS is inferred absent (Peter Peregrine 2021,pers Comm) Its first documented instance in the Cahokia region corresponds to the Lohmann phase,,,,,,,,,,
Cahokia,USMisMu,450,599,A*,HS is inferred absent (Peter Peregrine 2021,pers Comm) Its first documented instance in the Cahokia region corresponds to the Lohmann phase,,,,,,,,,,
Cahokia,USMisPa,600,749,A*,HS is inferred absent (Peter Peregrine 2021,pers Comm) Its first documented instance in the Cahokia region corresponds to the Lohmann phase,,,,,,,,,,
Cahokia,USMisSp,750,899,A*,HS is inferred absent (Peter Peregrine 2021,pers Comm) Its first documented instance in the Cahokia region corresponds to the Lohmann phase,,,,,,,,,,
Cahokia,USMisME,900,1049,A*,HS is inferred absent (Peter Peregrine 2021,pers Comm) Its first documented instance in the Cahokia region corresponds to the Lohmann phase,,,,,,,,,,
Cahokia,USCahoE,1050,1199,P,Mound 72 contains three primary burial mounds (constructed over a period spanning from 1000 to 1500 CE) in which various victims were killed and interred with high status individuals. The largest mass burial,Feature 105,contains the remains of 53 individuals,all women – most of them were young and one may have been the ‘matron’ or elder wife Feature 229 lower contains 45 victims aged between 15 and 45 who show the signs of a violent death (decapitation,perimortem fractures,embedded projectile points),,,,,,
Cahokia,USCahoL,1200,1274,P*,Inferred continuity with the Lohmann phase,as suggested by Peter Peregrine (2016,pers Comm),,,,,,,,,
Cahokia,USMisSd,1275,1399,P*,Inferred continuity with the Lohmann phase,as suggested by Peter Peregrine (2016,pers Comm),,,,,,,,,
Cahokia,USOneot,1400,1639,A*,There is no archaeological evidence for HS in the Oneota sphere (Hall,R L 2004),confirmed by Peter Peregrine (2021,pers comm),,,,,,,,
Cahokia,USIllin,1640,1832,A*,Christian missionaries did not mention HS in the Illinois period This has been confirmed by Peter Peregrine (2016,pers Comm) Male prisoners of war were burned,but there is no indication that this was done to please supernatural beings (Callender,C 1978 pp 673-680),,,,,,,,
Finger Lakes,UsIroqE,1566,1713,P,War captives sacrificed to Sun god,,,,,,,,,,,
Finger Lakes,UsIroqL,1714,1848,P~A,There are no further references to HS after the 18th century. Fenton refers to it as a practice from earlier times Fenton,William N 1953,,,,,,,,,,
Cuzco,CuzcoLF,1,199,A*,No clear evidence of HS,despite decent sample of human remains (Alan Covey,pers. comm. to Peter Turchin,November 2020),,,,,,,,
Cuzco,CuzcEI1,200,499,A*,No clear evidence of HS,despite decent sample of human remains (Alan Covey,pers. comm. to Peter Turchin,November 2020),,,,,,,,
Cuzco,CuzcEI2,500,649,A*,No clear evidence of HS,despite decent sample of human remains (Alan Covey,pers. comm. to Peter Turchin,November 2020),,,,,,,,
Cuzco,PeWari*,650,999,P,"""HS is present and apparently endorsed by the official cult (Sacrificer image). It seems that the sacrifice of out-group members took place",and perhaps that of in-group members (and children) too. These practices have been documented at Conchopata,Peru,"where """"trophy"""" body parts are thought to be those of sacrificial victims (Tung and Knudson 2010",62). Trophy skulls have also been found in Wari contexts in the Cuzco region (Alan Covey,pers. comm. to Peter Turchin,"November 2020)""",,,,,
Cuzco,CuzcLI1,1000,1249,A*,No good evidence for HS (Alan Covey,pers. comm. to Peter Turchin,November 2020),,,,,,,,,
Cuzco,CuzcLI2,1250,1399,A*,No good evidence for HS (Alan Covey,pers. comm. to Peter Turchin,November 2020),,,,,,,,,
Cuzco,PeInca*,1400,1531,P,The Incas offered human sacrifices for ceremonies dedicated to the Sun,to the ascendancy,well-being,and death of an emperor,and to military victory,,,,,,,
Cuzco,EsHabsb,1532,1700,A,Christianity,,,,,,,,,,,
North Colombia,CoNahua,250,1049,A*,The absence of evidence for HS in the archaeological and ethnohistorical record indicates that HS was likely not practiced in the prehispanic Sierra Nevada de Santa Marta (Santiago Giraldo 2017,pers Comm),,,,,,,,,,
North Colombia,CoTairo,1050,1524,A*,The absence of evidence for HS in the archaeological and ethnohistorical record indicates that HS was likely not practiced in the prehispanic Sierra Nevada de Santa Marta (Santiago Giraldo 2017,pers Comm),,,,,,,,,,
Lowland Andes,EcJivaE,1534,1830,A*,No good evidence for HS (Clark Barrett,pers. comm. to Jenny Reddish,June 2021). Rituals relating to the tsantsa feast do not fall within our definition,,,,,,,,,
Lowland Andes,EcJivaL,1831,1931,A*,No good evidence for HS (Clark Barrett,pers. comm. to Jenny Reddish,June 2021). Rituals relating to the tsantsa feast do not fall within our definition,,,,,,,,,
