Country|Year|drought|locust|Socioec.turmoil|crop.failure|famine|Source
China|1644.00|49.00|2.00|39.00|34.00|38.00|REACHES Chinese Historical Climate Database Qing Dynasty Drought Series https://www1.ncdc.noaa.gov/pub/data/paleo/historical/asia/china/reaches2020drought-category-sites.txt
China|1645.00|11.00|7.00|24.00|41.00|26.00|
China|1646.00|102.00|38.00|41.00|69.00|43.00|
China|1647.00|37.00|100.00|73.00|117.00|146.00|
China|1648.00|21.00|28.00|56.00|80.00|113.00|
China|1649.00|23.00|18.00|30.00|58.00|39.00|
China|1650.00|36.00|22.00|27.00|61.00|39.00|
China|1651.00|38.00|6.00|27.00|72.00|62.00|
China|1652.00|130.00|4.00|48.00|89.00|73.00|
China|1653.00|51.00|5.00|50.00|65.00|67.00|
China|1654.00|42.00|1.00|35.00|72.00|48.00|
China|1655.00|66.00|10.00|24.00|64.00|45.00|
China|1656.00|42.00|32.00|25.00|44.00|21.00|
China|1657.00|54.00|4.00|8.00|33.00|17.00|
China|1658.00|17.00|2.00|13.00|60.00|26.00|
China|1659.00|53.00|4.00|26.00|71.00|34.00|
China|1660.00|39.00|4.00|7.00|33.00|23.00|
China|1661.00|91.00|8.00|19.00|60.00|20.00|
China|1662.00|67.00|2.00|29.00|75.00|12.00|
China|1663.00|50.00|3.00|23.00|46.00|15.00|
China|1664.00|75.00|7.00|36.00|88.00|31.00|
China|1665.00|173.00|13.00|36.00|77.00|67.00|
China|1666.00|52.00|9.00|6.00|25.00|9.00|
China|1667.00|74.00|76.00|19.00|57.00|16.00|
China|1668.00|27.00|11.00|36.00|87.00|24.00|
China|1669.00|27.00|0.00|21.00|41.00|14.00|
China|1670.00|94.00|4.00|45.00|78.00|26.00|
China|1671.00|217.00|4.00|60.00|116.00|72.00|
China|1672.00|63.00|136.00|26.00|112.00|59.00|
China|1673.00|40.00|5.00|7.00|48.00|8.00|
China|1674.00|78.00|7.00|6.00|51.00|19.00|
China|1675.00|18.00|3.00|13.00|37.00|5.00|
China|1676.00|8.00|3.00|14.00|34.00|10.00|
China|1677.00|33.00|9.00|11.00|37.00|13.00|
China|1678.00|104.00|12.00|25.00|68.00|53.00|
China|1679.00|229.00|57.00|38.00|114.00|113.00|
China|1680.00|80.00|6.00|42.00|71.00|88.00|
China|1681.00|72.00|3.00|22.00|52.00|37.00|
China|1682.00|32.00|5.00|13.00|65.00|18.00|
China|1683.00|33.00|3.00|16.00|98.00|23.00|
China|1684.00|63.00|5.00|15.00|61.00|35.00|
China|1685.00|37.00|4.00|9.00|51.00|19.00|
China|1686.00|43.00|20.00|24.00|36.00|16.00|
China|1687.00|40.00|18.00|8.00|34.00|4.00|
China|1688.00|37.00|5.00|10.00|44.00|13.00|
China|1689.00|110.00|8.00|13.00|63.00|39.00|
China|1690.00|100.00|29.00|18.00|97.00|49.00|
China|1691.00|111.00|119.00|42.00|91.00|71.00|
China|1692.00|54.00|20.00|29.00|53.00|49.00|
China|1693.00|82.00|18.00|17.00|60.00|14.00|
China|1694.00|18.00|26.00|4.00|33.00|22.00|
China|1695.00|22.00|4.00|4.00|56.00|16.00|
China|1696.00|57.00|3.00|33.00|65.00|67.00|
China|1697.00|53.00|6.00|23.00|42.00|95.00|
China|1698.00|24.00|2.00|13.00|15.00|39.00|
China|1699.00|26.00|11.00|5.00|25.00|14.00|
China|1700.00|15.00|4.00|5.00|26.00|6.00|
China|1701.00|24.00|4.00|12.00|26.00|10.00|
China|1702.00|29.00|3.00|10.00|39.00|23.00|
China|1703.00|58.00|5.00|30.00|82.00|69.00|
China|1704.00|36.00|7.00|47.00|46.00|90.00|
China|1705.00|23.00|17.00|11.00|33.00|17.00|
China|1706.00|39.00|3.00|12.00|25.00|28.00|
China|1707.00|64.00|1.00|10.00|41.00|24.00|
China|1708.00|62.00|9.00|20.00|62.00|38.00|
China|1709.00|27.00|12.00|27.00|75.00|53.00|
China|1710.00|27.00|5.00|15.00|24.00|31.00|
China|1711.00|37.00|14.00|10.00|20.00|14.00|
China|1712.00|26.00|6.00|9.00|42.00|17.00|
China|1713.00|38.00|2.00|15.00|39.00|63.00|
China|1714.00|98.00|10.00|8.00|45.00|27.00|
China|1715.00|25.00|3.00|8.00|46.00|16.00|
China|1716.00|71.00|4.00|6.00|37.00|22.00|
China|1717.00|12.00|6.00|5.00|12.00|13.00|
China|1718.00|26.00|4.00|18.00|38.00|6.00|
China|1719.00|36.00|0.00|9.00|41.00|12.00|
China|1720.00|85.00|3.00|16.00|62.00|43.00|
China|1721.00|213.00|7.00|25.00|104.00|104.00|
China|1722.00|130.00|13.00|21.00|70.00|82.00|
China|1723.00|94.00|43.00|25.00|57.00|52.00|
China|1724.00|29.00|27.00|20.00|50.00|18.00|
China|1725.00|35.00|6.00|8.00|54.00|25.00|
China|1726.00|21.00|3.00|15.00|75.00|57.00|
China|1727.00|21.00|4.00|29.00|57.00|42.00|
China|1728.00|34.00|2.00|6.00|24.00|7.00|
China|1729.00|31.00|7.00|5.00|40.00|7.00|
China|1730.00|17.00|2.00|17.00|77.00|21.00|
China|1731.00|16.00|3.00|9.00|40.00|37.00|
China|1732.00|25.00|5.00|22.00|57.00|19.00|
China|1733.00|21.00|3.00|18.00|44.00|20.00|
China|1734.00|9.00|2.00|4.00|25.00|4.00|
China|1735.00|40.00|10.00|11.00|25.00|25.00|
China|1736.00|24.00|3.00|4.00|36.00|9.00|
China|1737.00|39.00|9.00|11.00|55.00|16.00|
China|1738.00|85.00|13.00|5.00|53.00|26.00|
China|1739.00|30.00|12.00|10.00|69.00|18.00|
China|1740.00|14.00|26.00|7.00|45.00|9.00|
China|1741.00|27.00|3.00|11.00|34.00|15.00|
China|1742.00|47.00|3.00|21.00|74.00|39.00|
China|1743.00|96.00|3.00|72.00|57.00|94.00|
China|1744.00|49.00|33.00|22.00|41.00|19.00|
China|1745.00|58.00|5.00|9.00|47.00|11.00|
China|1746.00|16.00|3.00|9.00|46.00|16.00|
China|1747.00|42.00|3.00|25.00|69.00|33.00|
China|1748.00|69.00|14.00|25.00|67.00|71.00|
China|1749.00|5.00|0.00|12.00|35.00|16.00|
China|1750.00|25.00|2.00|16.00|51.00|18.00|
China|1751.00|95.00|9.00|20.00|70.00|48.00|
China|1752.00|61.00|29.00|14.00|50.00|57.00|
China|1753.00|34.00|10.00|16.00|31.00|24.00|
China|1754.00|11.00|0.00|12.00|36.00|13.00|
China|1755.00|21.00|9.00|8.00|73.00|41.00|
China|1756.00|29.00|1.00|16.00|36.00|66.00|
China|1757.00|28.00|3.00|15.00|58.00|31.00|
China|1758.00|30.00|8.00|7.00|28.00|38.00|
China|1759.00|74.00|30.00|20.00|65.00|40.00|
China|1760.00|26.00|2.00|16.00|18.00|14.00|
China|1761.00|7.00|1.00|9.00|39.00|11.00|
China|1762.00|16.00|1.00|8.00|35.00|16.00|
China|1763.00|9.00|13.00|4.00|18.00|8.00|
China|1764.00|20.00|10.00|13.00|37.00|13.00|
China|1765.00|24.00|6.00|8.00|43.00|48.00|
China|1766.00|8.00|2.00|8.00|15.00|10.00|
China|1767.00|9.00|0.00|3.00|20.00|9.00|
China|1768.00|72.00|10.00|9.00|40.00|16.00|
China|1769.00|19.00|2.00|11.00|33.00|31.00|
China|1770.00|18.00|16.00|12.00|27.00|26.00|
China|1771.00|23.00|7.00|12.00|39.00|23.00|
China|1772.00|12.00|3.00|6.00|15.00|9.00|
China|1773.00|13.00|2.00|11.00|33.00|13.00|
China|1774.00|55.00|15.00|8.00|22.00|9.00|
China|1775.00|62.00|14.00|7.00|28.00|14.00|
China|1776.00|18.00|5.00|8.00|29.00|8.00|
China|1777.00|49.00|7.00|7.00|24.00|20.00|
China|1778.00|191.00|11.00|32.00|84.00|102.00|
China|1779.00|28.00|0.00|23.00|42.00|60.00|
China|1780.00|15.00|1.00|5.00|22.00|16.00|
China|1781.00|45.00|1.00|19.00|46.00|9.00|
China|1782.00|30.00|5.00|9.00|32.00|13.00|
China|1783.00|25.00|3.00|3.00|24.00|10.00|
China|1784.00|46.00|6.00|22.00|44.00|33.00|
China|1785.00|233.00|21.00|49.00|100.00|110.00|
China|1786.00|116.00|33.00|68.00|82.00|172.00|
China|1787.00|48.00|13.00|11.00|24.00|59.00|
China|1788.00|21.00|4.00|19.00|42.00|22.00|
China|1789.00|26.00|2.00|6.00|31.00|19.00|
China|1790.00|11.00|0.00|6.00|36.00|11.00|
China|1791.00|17.00|4.00|15.00|36.00|9.00|
China|1792.00|76.00|3.00|15.00|45.00|36.00|
China|1793.00|16.00|6.00|9.00|37.00|16.00|
China|1794.00|31.00|1.00|23.00|84.00|29.00|
China|1795.00|36.00|6.00|19.00|37.00|68.00|
China|1796.00|26.00|6.00|10.00|41.00|12.00|
China|1797.00|18.00|3.00|9.00|21.00|17.00|
China|1798.00|26.00|2.00|8.00|15.00|10.00|
China|1799.00|8.00|11.00|17.00|25.00|5.00|
China|1800.00|40.00|3.00|22.00|44.00|12.00|
China|1801.00|11.00|3.00|16.00|56.00|22.00|
China|1802.00|121.00|43.00|14.00|68.00|29.00|
China|1803.00|18.00|26.00|10.00|31.00|27.00|
China|1804.00|38.00|9.00|19.00|63.00|37.00|
China|1805.00|52.00|14.00|12.00|66.00|52.00|
China|1806.00|30.00|4.00|14.00|35.00|37.00|
China|1807.00|105.00|4.00|12.00|46.00|20.00|
China|1808.00|29.00|6.00|16.00|41.00|26.00|
China|1809.00|27.00|2.00|8.00|23.00|27.00|
China|1810.00|47.00|0.00|8.00|29.00|15.00|
China|1811.00|122.00|6.00|14.00|66.00|43.00|
China|1812.00|60.00|4.00|25.00|69.00|61.00|
China|1813.00|124.00|2.00|42.00|98.00|123.00|
China|1814.00|136.00|10.00|48.00|82.00|96.00|
China|1815.00|15.00|1.00|19.00|39.00|17.00|
China|1816.00|24.00|0.00|13.00|34.00|25.00|
China|1817.00|55.00|5.00|12.00|43.00|35.00|
China|1818.00|22.00|5.00|15.00|38.00|8.00|
China|1819.00|47.00|0.00|16.00|47.00|12.00|
China|1820.00|133.00|0.00|36.00|67.00|31.00|
China|1821.00|37.00|8.00|97.00|47.00|31.00|
China|1822.00|25.00|2.00|17.00|54.00|24.00|
China|1823.00|18.00|9.00|19.00|96.00|36.00|
China|1824.00|37.00|27.00|19.00|35.00|25.00|
China|1825.00|54.00|40.00|10.00|55.00|23.00|
China|1826.00|48.00|14.00|24.00|78.00|28.00|
China|1827.00|26.00|4.00|13.00|35.00|10.00|
China|1828.00|30.00|1.00|8.00|39.00|10.00|
China|1829.00|34.00|1.00|9.00|34.00|9.00|
China|1830.00|40.00|4.00|13.00|50.00|24.00|
China|1831.00|30.00|4.00|45.00|70.00|60.00|
China|1832.00|94.00|10.00|58.00|109.00|113.00|
China|1833.00|38.00|22.00|63.00|119.00|119.00|
China|1834.00|45.00|30.00|42.00|84.00|101.00|
China|1835.00|215.00|146.00|32.00|141.00|88.00|
China|1836.00|70.00|103.00|21.00|64.00|55.00|
China|1837.00|51.00|40.00|17.00|54.00|24.00|
China|1838.00|34.00|19.00|13.00|46.00|47.00|
China|1839.00|47.00|5.00|19.00|76.00|18.00|
China|1840.00|23.00|6.00|10.00|39.00|18.00|
China|1841.00|12.00|7.00|41.00|65.00|25.00|
China|1842.00|26.00|7.00|21.00|53.00|16.00|
China|1843.00|22.00|12.00|12.00|47.00|14.00|
China|1844.00|20.00|2.00|12.00|50.00|4.00|
China|1845.00|31.00|8.00|11.00|39.00|15.00|
China|1846.00|90.00|2.00|22.00|79.00|42.00|
China|1847.00|85.00|11.00|32.00|67.00|64.00|
China|1848.00|18.00|14.00|40.00|102.00|30.00|
China|1849.00|22.00|9.00|74.00|96.00|93.00|
China|1850.00|30.00|5.00|22.00|45.00|36.00|
China|1851.00|23.00|13.00|13.00|51.00|8.00|
China|1852.00|40.00|10.00|27.00|60.00|19.00|
China|1853.00|27.00|37.00|38.00|120.00|39.00|
China|1854.00|29.00|42.00|19.00|45.00|28.00|
China|1855.00|34.00|38.00|12.00|66.00|9.00|
China|1856.00|211.00|206.00|30.00|159.00|64.00|
China|1857.00|74.00|260.00|48.00|151.00|120.00|
China|1858.00|38.00|125.00|25.00|63.00|35.00|
China|1859.00|55.00|24.00|13.00|60.00|24.00|
China|1860.00|28.00|20.00|19.00|42.00|28.00|
China|1861.00|24.00|12.00|34.00|41.00|18.00|
China|1862.00|46.00|84.00|102.00|87.00|58.00|
China|1863.00|35.00|28.00|31.00|71.00|34.00|
China|1864.00|70.00|13.00|42.00|75.00|50.00|
China|1865.00|43.00|5.00|27.00|61.00|28.00|
China|1866.00|48.00|7.00|30.00|60.00|35.00|
China|1867.00|109.00|9.00|31.00|80.00|40.00|
China|1868.00|26.00|9.00|52.00|86.00|43.00|
China|1869.00|64.00|16.00|25.00|107.00|30.00|
China|1870.00|60.00|7.00|38.00|97.00|39.00|
China|1871.00|70.00|7.00|33.00|113.00|29.00|
China|1872.00|36.00|7.00|16.00|68.00|16.00|
China|1873.00|43.00|5.00|17.00|67.00|8.00|
China|1874.00|35.00|4.00|22.00|37.00|8.00|
China|1875.00|59.00|10.00|20.00|81.00|16.00|
China|1876.00|168.00|31.00|37.00|122.00|77.00|
China|1877.00|265.00|71.00|166.00|226.00|213.00|
China|1878.00|93.00|23.00|129.00|113.00|131.00|
China|1879.00|38.00|8.00|22.00|65.00|13.00|
China|1880.00|27.00|8.00|12.00|40.00|4.00|
China|1881.00|16.00|10.00|27.00|50.00|13.00|
China|1882.00|20.00|8.00|22.00|51.00|9.00|
China|1883.00|16.00|1.00|15.00|66.00|21.00|
China|1884.00|26.00|5.00|15.00|43.00|24.00|
China|1885.00|24.00|5.00|15.00|48.00|16.00|
China|1886.00|42.00|13.00|26.00|51.00|18.00|
China|1887.00|36.00|1.00|34.00|47.00|19.00|
China|1888.00|38.00|1.00|36.00|64.00|18.00|
China|1889.00|18.00|3.00|37.00|92.00|43.00|
China|1890.00|20.00|6.00|24.00|69.00|17.00|
China|1891.00|45.00|27.00|19.00|76.00|15.00|
China|1892.00|76.00|54.00|36.00|81.00|32.00|
China|1893.00|24.00|8.00|23.00|66.00|25.00|
China|1894.00|32.00|7.00|20.00|58.00|22.00|
China|1895.00|57.00|8.00|35.00|74.00|32.00|
China|1896.00|23.00|4.00|35.00|61.00|34.00|
China|1897.00|21.00|6.00|28.00|56.00|32.00|
China|1898.00|45.00|3.00|35.00|70.00|36.00|
China|1899.00|53.00|12.00|22.00|81.00|26.00|
China|1900.00|153.00|26.00|45.00|95.00|82.00|
China|1901.00|40.00|11.00|41.00|80.00|39.00|
China|1902.00|79.00|11.00|74.00|75.00|29.00|
China|1903.00|17.00|4.00|22.00|40.00|14.00|
China|1904.00|16.00|2.00|22.00|43.00|13.00|
China|1905.00|15.00|2.00|15.00|28.00|7.00|
China|1906.00|40.00|10.00|19.00|66.00|23.00|
China|1907.00|32.00|4.00|15.00|51.00|19.00|
China|1908.00|36.00|5.00|15.00|53.00|13.00|
China|1909.00|33.00|7.00|18.00|65.00|17.00|
China|1910.00|20.00|4.00|22.00|64.00|17.00|
China|1911.00|14.00|6.00|27.00|62.00|14.00|
